Dates,Volume,Change,Direction,Dayname_x
2020-05-08,339.91 M,+0.19 (+2.50%),UP,Friday
2020-05-11,469.06 M,+0.25 (+3.24%),UP,Monday
2020-05-15,987.66 M,+0.46 (+5.73%),UP,Friday
2020-05-18,776.4 M,+0.26 (+3.06%),UP,Monday
2020-05-19,717.32 M,+0.06 (+0.63%),UP,Tuesday
2020-08-17,621.3 M,+0.77 (+6.68%),UP,Monday
2020-08-18,503.45 M,-0.08 (-0.62%),UP,Tuesday
2020-09-01,512.47 M,+0.45 (+3.34%),UP,Tuesday
2020-10-30,417.4 M,-0.49 (-3.76%),DOWN,Friday
2021-01-21,338.34 M,+0.50 (+3.75%),UP,Thursday
2021-04-01,308.27 M,+0.46 (+3.47%),UP,Thursday
2021-04-05,255.67 M,+0.18 (+1.27%),UP,Monday
2021-04-08,244.41 M,+0.17 (+1.23%),UP,Thursday
2021-04-12,869.32 M,+0.81 (+5.62%),UP,Monday
2021-04-13,676.21 M,+0.47 (+3.09%),UP,Tuesday
2021-05-28,644.54 M,+0.76 (+4.88%),UP,Friday
2021-08-27,304.72 M,+0.57 (+2.57%),UP,Friday
2021-10-28,234.2 M,+0.49 (+2.00%),UP,Thursday
2021-10-29,292.5 M,+0.63 (+2.51%),UP,Friday
2021-11-04,1.15 B,+3.20 (+12.04%),UP,Thursday
2021-11-05,851.26 M,-0.05 (-0.16%),UP,Friday
2021-11-08,503.1 M,+1.05 (+3.54%),UP,Monday
2022-01-20,435.18 M,-0.92 (-3.66%),DOWN,Thursday
2022-01-21,718.96 M,-0.78 (-3.21%),DOWN,Friday
2022-01-25,664.62 M,-1.05 (-4.48%),DOWN,Tuesday
2022-03-18,730.72 M,+1.69 (+6.81%),UP,Friday
2022-03-21,591.73 M,+0.28 (+1.06%),UP,Monday
2022-04-11,575.21 M,-1.20 (-5.20%),DOWN,Monday
2022-04-12,662.26 M,-0.41 (-1.88%),DOWN,Tuesday
2022-06-13,604.15 M,-1.33 (-7.82%),DOWN,Monday
2022-07-21,557.05 M,+0.24 (+1.36%),UP,Thursday
2022-09-01,1.18 B,-1.16 (-7.67%),DOWN,Thursday
2022-09-02,743.16 M,-0.29 (-2.08%),DOWN,Friday
2023-01-17,511.1 M,+0.80 (+4.75%),UP,Tuesday
2023-02-23,1.12 B,+2.91 (+14.02%),UP,Thursday
2023-03-16,584.95 M,+1.31 (+5.42%),UP,Thursday
2023-05-18,748.73 M,+1.50 (+4.97%),UP,Thursday
2023-05-19,473.91 M,-0.41 (-1.31%),UP,Friday
2023-05-25,1.54 B,+7.44 (+24.37%),UP,Thursday
2023-05-26,714.4 M,+0.97 (+2.54%),UP,Friday
2023-05-30,923.4 M,+1.16 (+2.99%),UP,Tuesday
2024-01-08,642.51 M,+3.16 (+6.43%),UP,Monday
2024-01-09,773.1 M,+0.89 (+1.70%),UP,Tuesday
2024-01-19,543.5 M,+2.38 (+4.17%),UP,Friday
2024-02-05,680.08 M,+3.17 (+4.79%),UP,Monday
2025-01-06,265.38 M,+4.96 (+3.43%),UP,Monday
2025-01-27,818.83 M,-24.20 (-16.97%),DOWN,Monday
